,text,label
0,Очень быстрая работа смартфона. Хорошая автономность,1
1,"Интересная камера, расположение, стабилизация во время съёмки и широкоугольное фото вызывают восторг. Качественный большой экран. Расположение фронтальной камеры.",1
2,Практически единственная брендовая раскладушка на сегодняшний день.,1
3,"Яркий экран,понятное меню.",1
4,"Мне очень понравился его экран, все-таки супер-амолед, дает визуальный хороший эффект и глаза даже не устают. Да и как я читал что amoled в отличии от ips меньше употребляет энергии. Все верно оказалось, телефон реально дольше держит батарею, при всех моих ежедневных задачах. Большая память за такие то деньги, это не шутки вам), 8 гб + 128, мне вот реально за глаза хватает. Мне нравиться что при всей работе процессор оптимизирован и он не глючит. Ну а сканер в экране это конечно круто. Но, все-же не всегда срабатывает увы.",1
5,"Фото-видео на высоте. Отличные цвета, картинка вообще на высоте. В целом мобила достойная, минусов на поверку нет",1
6,"Тонкий, шершавый нескользящий корпус, адекватное отображение на экране, простое управление, две симкарты, фонарик, хорошее качество и слышимость собеседника, связь идет без пакетов, две симкарты, несамый слабый аккумулятор",1
7,"довольна осталась на все 100%.Все что мне надо здесь есть: много памяти 128 Гб, хорошая камера тройная 48 Мп, NFC, отпечаток пальца, быстрая зарядка, цена-качество,яркий и большой экран. Телефон очень лёгкий Громкость большая, звучание хорошее. Мне достался за 7375 по акции утилизация минус бонусы.",1
8,"1. Дисплей - это самое основное в любом смартфоне, очень приятная цветовая гамма, 120 hz - очень круто, тактильные ощущения очень сложно передать, нужно подержать в руках. Субъективно лучший дисплей что я когда либо использовал. Надо добавить, что полностью отсутствует ШИМ, что очень хорошо для глаз, при долгом использовании глаза не устают. 2. Быстродействие - последний Snapdragon, в паре с 12 GB оперативной памяти типа DDR 5 - всё летает. В использовании практически месяц, за это время ни одного подтормаживания. 3. Звук - для меня очень не маловажным параметр, как с Bluetooth, так и с проводных ушей. Ждать Hi Res звучания не стоит, но очень достойно. 4. ОС - операционная система ColorOS, впервые пользуюсь продукцией от компании Oppo, интуитивно очень понятная и приятная система. 5. Быстрая зарядка - вот тут точно прорыв, заряжается очень быстро, нету сильного перегрева, это автоматически плюс к автономности, лично для меня. У меня очень активное использование смартфоном, как игры, так и работа. Восполнить потраченные проценты можно очень быстро, однозначно лайк. 6. Камера - снимаю крайне редко, но иногда нужно отснять документы, очень понравился режим макро съёмки, селфи камера тоже радует. Шикарная съёмка видео, стабилизация на уровне. 7. Дизайн/Эргономика - безумно люблю минимализм , приобрел телефон с чёрной керамикой, смартфон достаточно крупный, но приятно лежит в руке, для людей с небольшими руками может вызвать неудобство.",1
9,"Хорошая производительность, камера, быстрая зарядка, нет гугла, хороший звук",1
10,"Хороший дизайн, производительность, отличный объём памяти. Реагирует на нажатия нормально. Один из лучших в соотношении цена/качество, по этой причине и выбирал. Камера делает отличные снимки по разрешению, Ночная съёмка, чувствительность, на хорошем уровне. Заряжается очень быстро (ок 1 часа с 10-20℅ до 100℅) , возможно и быстрее (?). Аудио звучание на отлично. В помещении, включил любимую музыку (загородный ? дом, без посторонних звуков и гула машин за окном (без шумового фона города, на который мы уже не обращаем внимание), для своих размеров телефон звук выдает шикарный! (хард рок, поп , эстрада и т. д. ). Громкость включал не на полную катушку.",1
11,"Шустрый, компактный, приятный цвет. Сборка достаточно крепкая. Аккумулятор пока не проверял, время покажет. Но думаю, все должно быть стандартно-нормально. Тактильные ощущения от телефона тоже неплохи. Хотя и скользковат по бокам.",1
12,"Очень крупный экран, почти как у планшета, но рамок нет совсем. Выглядит очень солидно, увесистый. Съёмка видео 8К",1
13,"120гц, экран, отличный отклик и приятная работа интерфейса (Сравниваю с S10+ на snapdragon 855)",1
14,громкий динамик. хороший аккумулятор.радио без гарнитуры.фонарик.крупные цифры при наборе.,1
15,"Три камеры сзади, большой экран, быстрый сканер.",1
16,"Мощный аппарат с симпатичным дизайном, нет большой брови и острых углов, зато есть много памяти 4/128 Гб, а также мощная батарея, которой у меня на двое суток хватает. Также этот смартфон подходит для работы, я его покупал ввиду наличия разъёма OTG, чтобы можно было подключить клавиатуру и работать в гостинице или в поезде (ноутбук я с собой тоже вожу, но в общественных местах стараюсь им не светить). Для любителей путешествовать или заниматься шопингом есть модуль NFC.",1
17,"Это практически флагман фирмы Doogee. По начинке вообще никаких нареканий нет. Всё летает, в т.ч. и игры, всё красиво. Кстати, телефон производительней моего ноутбука! Что даже смущает. Набор встроенных программ, типа компаса, уровня, транспортира, лупы и т.д. и т.д. - приятно удивил, всё работает отменно! Все виды связи, современные и будущие. Без FiWi, только звонки - держит 12-14 дней. С полным инетом не выключая - до 1,5 суток.",1
18,"Из защищённых смартфонов пожалуй самый стильный за разумные деньги. Сделан качественно, работает стабильно, не тормозит. При среднем использовании с постоянно включенным интернетом и геолокацией заряда хватает на два дня. В общем смартфон достойный.",1
19,Быстрый. Отличный экран. Отличная камера. С 0 за час заряжается за 65мин(выключенный) и за 80мин(включенный) - на родной зарядке QC 3.0. NFC рабочий.,1
20,"Классный экран. Довольно быстрый заряд батареи, - полная зарядка меньше чем за два часа. Сразу заказал стекло и чехол, очень удобно. Шустрый сканер отпечатков пальцев.",1
21,Хорошо держит батарею. Мессенджеры и приложения не тормозят. Яндекс-навигатор работает четко,1
22,"Камера, предустановленные проги",1
23,"Очень неплохой экран, при хорошем освещении - неплохие снимки (но тут см. недостатки), щедрый комплект (чехол-накладка, пленка, наушники, зарядка). Съемный аккумулятор (это при его совсем небольшой толщине). Быстрая работа интерфейса. Батарейки хватает на полтора - два дня при умеренном использовании (whatsapp, фото, два-три звонка по 5 минут). Есть режим whatsapp (когда другие приложения в фоне не работают). В целом, понятный интерфейс. Выглядит дороже свой цены. Аппарат реально приятный в работе. Не греется почти. Много всяких фишек - включение поднятием, включение двойным прикосновением, отключение звука поворотом... Сканер отпечатка пальца работает молниеносно. Искусственный интеллект в камере - ну вроде корректно выбирает сцены, лица распознает налету.",1
24,"Емкая батарея, неплохая камера (не лучшая но за эту цену норм), экран очень приятный для глаз, очень приятно держать в руке, материалы очень приятные, ощущение будто держишь что то довольно дорогое.",1
25,Шустрый телефон цвет красивый,1
26,"Аккумулятор. При активном использовании - всегда блютуф, мессенджеры, электронная почта, навигатор, Ютуб - хватает на полтора дня легко. Память - 64 хватает на всё, карта памяти есть, перенес на ней данные с предыдущего телефона, но более не использовал. Экран - хорошая автоматическая регулировка яркости, защита зрения (при включении цвета уходят в теплоту, жёлтый спектр) - глазам легче. Чехол в комплекте - очень красивый и удобный.",1
27,"- Цена, брал со скидкой за 13500, за эти деньги придраться не к чему особо. - Неплохой дизайн, смотрится интереснее восьмой версии, но не моей седьмой:) - Объём аккумулятора, держит почти три дня (без игр), но по моему опыту это будет максимум несколько месяцев.",1
28,"Цена, качество, производительность",1
29,"Брала на подарок сестре, очень понравился, работает хорошо",1
30,Телефон отличный по всем параметрам. Кого не пугает отсутствие гугла берите не пожалеете.,1
31,"-Цена -Стабильная сеть и поддержка Lte -Приятный дисплей, хороший запас яркости. -Отзывчивый сенсор -Камеры для «просто сфоткай меня тут» достаточного качества.",1
32,"О достоинствах уже много написано. Экран, батарея, стилус и т.д.",1
33,"Очень бюджетный ,если надо купить к примеру ребёнку .",1
34,звонилка+интернет. Всё нравится) не лучше и не хуже предыдущего редми за 15 к.,1
35,"Дизайн, память, работа приложений",1
36,"Цена, купил за 8500 в апреле 2020 и еще потратил бонусы Спасибо. Памяти 65 ГБ как раз хватит, и можно флешку добавить. Две сим. Большая батарея, надоело когда старый телефон не доживает до конца дня. NFC попробовав раз, уже не мог от него отказаться и искал телефон только с ним. Отпечаток пальца работает неплохо. Экран приличный, разница с более четкими не особо заметна, если не всматриваться под лупой. Достаточно производительный. Краствый синий цвет, хотя все равно он будет под чехлом.",1
37,"Телефон лёгкий, но при этом хорошо лежит в руке, сделан добротно и в целом не выглядит дешево. Процессор достаточно производительный для повседневного использования и при этом энергоэффективный. Батарея хоть и на 3000, но заряд расходуется по ощущениям очень медленно. Экран яркий с хорошими углами обзора, цвета не искажаются. Разрешения для этой диагонали вполне хватит. Немного уменьшил масштаб, установленный по умолчанию. Минимум стороннего ПО (из ненужного предустановленного ПО не удаляется полностью только фэйсбучная хрень - пришлось отключить в настройках) Интерфейс работает очень шустро, хороший тач - приятно пользоваться. Андроид 10, адекватная поддержка производителем. Камера с автофокусом и эффектом размытия, из коробки поддерживает Api2 level 3.",1
38,"Мощная батарея, стильный металлический корпус, оперативная память на 2 Гб, симпатичный дизайн в темно-синем цвете.",1
39,"Небольшая цена, хорошая в те времена камера, пр-ность за ствои деньги.",1
40,"Хорошая камера на 13 мп. Ездил с ним в Крым фотки были классные, а что насчёт видео мне зашло. Максимум сколько получалось видео: 30-45 фпс (вроде неплохо ). Хоть процессор 8-ми ядерный но те же танки тянет как на обычных дешёвых смартфонах. Вообщем если вам нужен телефон для работы и на перерывах играть в какие-нибуть норм. игрушки то это вам подойдёт",1
41,"Достоинств на самом деле много 1) Ударопрочный был до это S60 падал везде и всегда ( но работал ). 2) Набор модулей на любой вкус и цвет ( камера считаю бесполезной, чуть лучше работает чем стандартная в полной темноте, лучше бы тепловизор запилили). 3) Автономная работа + доп батарея можно неделю ходить ( в среднем хватает на 2-3 стандартной зарядки интенсивного использования. 4) 2 сим карты + 128 гб на борту + если мало можно добавить sd карту. 5) Да брутален в руке чувствуется. 6) Беспроводная зарядка ( не пользуюсь ) кидаю телефл на доп батарею она на магнитах сама встает как надо. 7) Идеальный телефон как автомат Калашникова должен всегда работать после мороза, пыли, грязи и влаги.",1
42,Всё. Особенно ёмкость аккумулятора.,1
43,"Удобный в использование, простое управление",1
44,"Батарейка супер. Ценник демократичный, брал за 3,5.",1
45,"Лёгкий, Андроид, Wi-Fi, Цена, две камеры.",1
46,"Цена, внешний вид, функционал, аккумулятор.",1
47,"Качество сборки, батарея, дизайн, отсутствие интернета, Power Bank, фонарь,",1
48,"Телефон покупал в июле в Италии в Риме , в магазине unieuro за 530 евро в версии 6\128 в телефоне очень понравилась автономность , производительность и GPS я часто использую его как навигатор, очень шустрый !!! Камера хорошая , правда в настройки надо лезть, чтобы сделать хороший снимок",1
49,Нормальный аккумулятор. Дизайн.,1
50,"Качественный телефон для пожилых людей. Крупные контрастные кнопки, легко прожимаются. Крупные буквы. Голосовая продиктовка цифр при нажатии. Возможность установки быстрого набора. Кнопка экстренного вызова (SOS). Недорогой ценник в категории телефонов для пожилых людей. Радио с хорошим приемом сигнала.",1
51,"Громкий звонок, яркий и красивый дисплей. Телефон простейший, покупала 83-летнему папе.",1
52,"Отличный смарт. 3Гб оперативки, процессор 8 ядер, Андроид 10, стабильная плавная работа везде, все что надо есть, в т.ч. и НФС, основная камера 3-х глазая, качество фоток достаточное, документы издалека сфотографировать чтобы читались - без проблем, вечером при ограниченной освещенности фото нормальные, корпус и материалы крепкие, уронил на асфальт - ничего не сломалось и даже не потерлось. Года на 3-4 его производительности точно хватит, кому не шашечки, а ехать. Что еще требуется от смартфона? За 7 т.р. так вообще считаю красота.",1
53,"Не знаю, планирует ли кто-то в ближайшее время покупать себе такой смартфон, но, возможно, кому-то будет полезен мой отзыв. Напишу все честно, как есть, что понравилось, что не понравилось (ничего не приукрашивая, не утаивая), расскажу о явных плюсах, но и о минусах тоже (конечно, они здесь есть). Итак, достоинства: 1) материалы корпуса (но смартфон все же чуть скользковат, имейте в виду), 2) эргономика (при 6-дюймовом экране смартфон ощущается реально компактным), 3) все механические кнопки (громкость, power) имеют приятный и мягкий ход, 4) экран - хорошие насыщенные цвета (но в меру по насыщенности), приятная цветопередача, отличный белый цвет, не уходящий куда-то в синеву, как на ips, например + так как это амолед (а об амоледе ходит дурная слава, мол от него болят глаза и все такое), глаза от него вообще не устают и не болят, все отлично, НО (!) смотрите кое-что в недостатках, 5) скорость работы системы - смартфон реально шустрый, приложения открываются быстро, не выгружаются из памяти, а если вы фанат мобильного гейминга, то, думаю, проблем здесь не будет - 845 дракон и этим все сказано, НО (!) смотрите кое-что в недостатках, 6) стереодинамики (просто то, что звук более объемный, чем при моно + звук в наушниках тоже не подкачал и есть большой запас по громкости, что радует), 7) вибромоторчик классный, НО (!) смотрите кое-что в недостатках, 8) работа беспроводных модулей (wi-fi, bluetooth, LTE, GPS - все отлично, никаких обрывов связи не наблюдал ни разу), 9) отличный разговорный динамик (звук из него объемный, чистый и громкий), 10 камера (но кое-что смотрите в недостатках) - снимки при наличии адекватного света отличные + неплохие фотографии получаются при включенном hdr, больше плюсов касаемо основной камеры не обнаружил.",1
54,"небольшой, прочный, яркий экран, удобные кнопки, фонарик, две сим",1
55,"В общем, пользуюсь аппаратами huawei со времени появления ascend p7. После этого были p9, p10 и mate 9 pro. На mate 9 pro разбил экран и поэтому пришлось подыскать что-то новое. Сравнивать буду mate 9 pro. 1. Думал будет заметно уменьшение разрешения экрана после mate 9, но по факту, этого разрешения достаточно для этой диагонали, никаких кубиков не вижу. Сам экран физически больше, это плюс. 2. Камеры - реальный шаг вперёд после mate 9 pro. Картинка в 9-ке была хорошей, но акварельной до безобразия, неестественной. В 30-ке все стало сильно лучше. Наконец-то фото стало похоже на фото, а не на снимок с видеорегистратора. Но тягаться с полнокадровыми беззеркальными фотоаппаратами он не может. У меня а7 первых годов выпуска, и вот до сих пор мобильное фото не приблизились к полноценным камерам. Это факт. У 30-ки не хватает динамического диапазона, фотографирую ребёнка, у него светло-серые глаза, а 30-ка их чернит. Хотя на альфе все выглядит лучше. Но для мобильного телефона качество, конечно, супер. 3. Батарея почти такая же как на 9-ке, разницы не почуял. Но она вечная. 4. Производительность, я в игры не играю, но если брать приложения и навигацию по меню - здесь все отлично. Меня даже на 9-ке в этом плане все устраивало. Визуально, роста производительности не заметил. 5. Нет гугла и не надо. Все приложения которыми я пользовался на 9-ке встали без проблем. Единственное, о чем я буду грустить - это отсутствие гугл-карт. Ютуб поставил какой-то сторонний без рекламы и возможностью свернуть, все подписки работают. 5. Много всяких плюшек в виде распознавания лица или жестов, но я этим не пользуюсь, но может кому-то пригодится. 6. Качество связи. Всегда и везде.",1
56,Отличная камера. Аппарат классный. Шустрый. Все работает быстро,1
57,"процессор, аккумулятор, дисплей, nfc, цена",1
58,"Очень крутой телефон, купила на сайте производителя, со скидкой плюс подарок аккумулятор. Память, летает, цвета, дизайн, все супер.",1
59,Очень качественный экран и хорошая камера.,1
60,Соотношение цена-качество.,1
61,"Всё работает как надо, не тормозит, отличные характеристики производительности- 4-64, батарея супер, экран смотрится отлично, сразу обновился до 11-й миуи.Дизайн на 4 с плюсом, капля убирается программно. USB-Type C на бюджетнике- огромный плюс. FM-радио можно слушать без наушников!",1
62,Хорошая производительность. Заряд держит хорошо. Хорошо слышно собеседника при разговоре. Достоинств больше чем недостатков,1
63,"В общем и целом мне нравится в аппарате все. Конкретно затрудняюсь пока написать. Приобрел не очень давно, а в эксплуатацию ввел еще немного позже. Пока ни в чем не разочаровался. Я не продвинутый юзер, потому такой девайс устраивает меня на все 100%, как устраивал и предыдущий 8+. Надо было обновить сам телефон, потому взял модель поновее.",1
64,- современный внешний вид - цена - хорошие материалы - достаточная производительность - хорошие камеры (в том числе и селфи) - тянет все игры,1
65,Фонарик очень обрадовал удобный выключатель сбоку телефона и светит ярко.можно пользоватся фонариком даже когда телефон выключен.зарядку держит неделю (не так часто звоню),1
66,Отличный телефон очень довольна,1
67,"Громкость, зарядка стакан удобно.",1
68,"Смартфон достаточно шустрый,быстро открывает интернет страницы,отклик при касании экрана менее секунды,аккумулятора,если использовать только на звонки(10-15 мин в день) хватает на 3 дня без подзарядки.Если пользоваться интернетом,на день приблизительно хватает,если не играть в игры. Слышимость в динамики при разговоре нормальная,при воспроизведении звонка,музыки достаточно громкий.",1
69,"Мощный аккумулятор, громкий звук, удобные кнопки, все что нужно мобильному телефону",1
70,хорошая камера.производительность,1
71,"Красивый, громкий функций достаточно мне.",1
72,Батарейку держит нормально. Тепловизор сносно показывает. И всё,1
73,"Цена, прост в управлении, батарея, фонарик,блютус.",1
74,"Защита работает. Парился с ним в бане, бросал на дно бассеина, бросал просто. Защита работает. Производительность тоже на высоте. Радует быстрый проц и большая память 256 Гб.",1
75,нормальная машинка бюджет за 4т рублей,1
76,"Покупал маме, слышно хорошо, интерфейс понятный для пожилого человека, в руке держать удобно, кнопки большие. После nokia 1661, которая сломалась, маме понравился.",1
77,"Эргономика, дисплей, камера, металлический корпус, отпечаток.",1
78,"Удобная форма корпуса, надежно лежит в руке. Заряжаю раз в неделю, использую немного, для рабочих звонков в основном. Яркий дисплей, все видно.",1
79,"Крупные цифры,большой экран",1
80,Длительное время работы без подзарядки,1
81,Это МОТОРОЛА! хорошая цена. Мощный камень ( из бюджетных),1
82,"Очень легкий(62грамма). Размеры компактные, экран цветной, видно текст и иконки чётко даже на солнце",1
83,Покупал из-за низкой цены. Скупой платит дважды.,1
84,"Изящный, тонкий, стильный, дизайн корпуса с лицевой стороны просто произведение искусства. Китайцы смотрятся очень коряво на его фоне. Но лучше носить в чехле, так как корпус весьма тонкий и скользкий. Лично я выбрал оригинальный 'бампер' Protective Standing Cover с подставочками для просмотра видео на столе, защищающий девайс от ударов при падении по военному стандарту MIL-STD-810G-516.7. Исполинский объём встроенной памяти 1 Тб, как в хорошем ноутбуке, такого больше нет ни у одного смартфона на рынке, в индустрии, теперь карта памяти microSD точно не нужна.) Присутствует старый добрый, надёжный 3,5 мм аудиоразъём, что большая редкость для современных флагманов. Двойная фронтальная камера в правом верхнем углу в глаза ни капли не бросается и выглядит очень гармонично, когда смартфон держишь в руках сразу понятно, что это два объектива камеры, тому, кто видит там какую то 'дырку', надо явно сходить зрение проверить или к психиатру записаться на приём.))) Штатный видеоплеер снова поддерживает звук AC-3 5.1/2.0 в видеофайлах avi/mkv, поддержка которого несколько лет назад исчезла из смартфонов Galaxy.",1
85,Батарея NFC GPS Антенна FACE ID Две сим-карты (можно 1 сим карта и micro sd),1
86,Удобные клавиши. Фонарик. Радио. Можно заряжать другие устройства через usb выход. на этом ВСЁ !!!,1
87,Я брал через АлиЭкспресс за 4500₽ И для меня это цена Есть беспроводное обновление прошивки Уже 3 раза прилитали обновление Хорошо тянет игры Производительность за эти деньги хороша,1
88,Нравится все. Перел покупкой перечитала все возможные обзоры. Все описаные недостатки высосаны из пальца. Масса настроек камеры для с'емки и экрана при воспроизведении. Отличный аппарат.,1
89,"Чистый андроид 9.0 с обновлениями, Камера-при нормальном освещении, особенно текст все детализированно, Батарея-хватает на несколько дней активного использования, Экран- всегда яркий и четкий, даже на солнце.",1
90,"Герметичность, защищенность, Относительно компактный для его параметров",1
91,"Большой экран, крупные хорошо читаемые кнопки, громкий звук, работа радиоприёмника без антенны.",1
92,"Хороший и большой, экран, большая батарея, голый Android.",1
93,"1. Держит 4.5 суток при 10-минутных разговорах в день. Это от 100% до 40% заряда, далее буквально за пару часов заряд падает до 20%. 2. Удобные кнопки с большим и мягким ходом ( для кого-то это может быть недостатком). 3. Стандартный разъём питания микро-USB. 4. Громкий динамик. 5. Хороший и разборчивый микрофон.",1
94,"Качество сборки, яркий дисплей, скорость работы",1
95,"Красивый, очень даже. За это прощаю ему все. Быстрая зарядка",1
96,"Прикольная раскладушка с большим дисплеем и кнопкой Sos. Большой аккумулятор. Понравилась внешне, хорошая цена.",1
97,за 4 месяца недостатков не обнаружила,1
98,"Легкий, удобно лежит в руке. Неплохие камеры. Не перегружен ненужными приложениями. Яркий экран. Довольно большой объем внутренней памяти. Интуитивно понятное управление.",1
99,"Их много, главные для меня: оч.крупный, читабельный шрифт на большом, ярком экране (можно загасить до тусклого ночью), огромные часы (название сим убирается), хороший звук везде и свои звуки на всё, приятная тема, 30 (!) рус.букв в имени, 700 контактов по 2 номера (группа, своя фоточка и рингтон), 300 смс, автозапись разговора, ощутимая вибра при соединении с абонентом, джой настраивается, есть проговаривание с настройкой громкости входящего вызова, контактов, набираемого номера. Также имеется: радио (раб.без наушников), календарь с задачами, заметки (1000 знаков), эл.книга, таймер, секундомер, рабочий инет, 3 бесплатные игрушки, аудио-видео-плеер, три будильника... Запаролить можно все - кроме клавы. Думаю, батарея достойная - за три часа активной возни после покупки не двинулась. Экран вроде не прогибается. Удобные, четкие кнопки. Легкий. Курсор в менюшках достаточно и равномерно бодр.",1
100,Аппарат компаньон планшету. Совершать и принимать звонки можно и удобно. Вибро-звонок в нем есть. Это удивило :),1
